ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Measurement Scheme,Unit Of Sale,Volume Of Sale,Unit Of Purchase, Volume Of Purchase,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web, Is Variable Price, Is Tax Exempt Eligible, Is Excluded From Loyalty Points Gain, Additional Suppliers,Delete Product, Product Tags, Archived Product, Container Fee
10329773,Lotus Andhra Sona Masoori Rice 5k,Lotus Andhra Sona Masoori Rice 5k,8.25000,13.99000,13.99000,,0.0000,,Rice & poha,,,,,,,9356485000105,Ayers Rock Trading,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329774,Lotus Flower,Lotus Flower,5.00000,5.00000,5.00000,,0.0000,,Flour & besan,,,,,,,202409,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329775,Ludo Snake Ladder Game,Ludo Snake Ladder Game,7.15000,9.99000,9.99000,,10.0000,,Miscellaneous,,,,,,,0,Veer Fine Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329776,Luxor Black Sketchpens 10 pc,Luxor Black Sketchpens 10 pc,1.80000,2.99000,2.99000,,0.0000,,Stationary,,,,,,,8901198115762,DHL,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329778,M & Ms Mini 35g,M & Ms Mini 35g,1.10000,1.99000,1.99000,,10.0000,,Sweets,,,,,,,93682671,4Corner,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329780,MB Cumin Seeds 250g,MB Cumin Seeds 250gmin Seeds 250g,2.25000,4.49000,3.29000,,0.0000,,Spices mixes# masala,,,,,,,9344307006626,M&J Ingredients,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329781,M amp J Mixed Dhall 1kg,M amp J Mixed Dhall 1kg,3.25000,4.99000,4.99000,,0.0000,,Lentils,,,,,,,9344307001751,M&J Ingredients,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329782,M C Yellow Mustard Seeds 100 gm,M C Yellow Mustard Seeds 100 gm,1.60000,3.49000,3.49000,,0.0000,,Spices mixes# masala,,,,,,,9311503101295,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329783,M S agarbbatis chandan sandal 200gm,M S agarbbatis chandan sandal 200gm,1.80000,2.99000,2.99000,,10.0000,,Pooja items,,,,,,,8906088880966,Khushboo Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329784,M.Treats Banana chips 908g,M.Treats Banana chips 908g,9.30000,12.96000,12.96000,,10.0000,,Snacks & chips,,,,,,,8906082391130,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329785,Maaza 250 Ml,Maaza 250 Ml,1.00000,1.99000,1.99000,,10.0000,,Drinks,,,,,,,8901764092800,Satva Impex,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329786,Maaza Mango 1.25L,Maaza Mango 1.25L,3.30000,4.99000,4.99000,,10.0000,,Drinks,,,,,,,8901764092305,Ayers Rock Trading,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329787,Maaza Mango Drink 1ltr,Maaza Mango Drink 1ltr,2.50000,3.99000,3.99000,,10.0000,,Drinks,,,,,,,8901764092336,Reliance Secure Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329788,Maaza Tetra Pack 150ml,Maaza Tetra Pack 150ml,0.50000,0.99000,0.99000,,10.0000,,Drinks,,,,,,,8901764175091,Satva Impex,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329789,Madjool Dates 454g,Madjool Dates 454g,8.99000,11.99000,11.99000,,10.0000,,Dry fruits & nuts,,,,,,,4061464693388,ALDI,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329790,MADRAS SAMBAR POWDER(BOGO) 165g,MADRAS SAMBAR POWDER(BOGO) 165g,1.32000,3.69000,3.69000,,0.0000,,Spices,,,,,,,897231000493,Continental,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329792,Maggi Masala Noodle 280 gm,Maggi Masala Noodle 280 gm,2.00000,3.99000,3.99000,,0.0000,,Noodles,,,,,,,8901058000269,Satva Impex,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329793,Maggi Coconut Milk Powder 1kg,Maggi Coconut Milk Powder 1kg,13.90000,17.99000,17.99000,,0.0000,,Miscellaneous,,,,,,,4792024000130,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329794,maggi special masala 280g,maggi special masala 280g,2.99000,3.99000,3.99000,,10.0000,,Confectionery,,,,,,,8901058005790,ALDI,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329795,maggi spicy garlic,maggi spicy garlic,2.99000,3.99000,3.99000,,10.0000,,Confectionery,,,,,,,8901058002683,Coles,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329796,Maharajah Ch Desiccated Coconut 500 g,Maharajah Ch Desiccated Coconut 500 g,4.18000,5.99000,5.99000,,0.0000,,Dry fruits & nuts,,,,,,,9311503200059,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
